include	status	name	cat	variants	flags	replaces	near	source_title	url
y	new	British Army 0000s 58 Set Yoke	Bags / Webbing	1	date-unknown			British Army 58 Pattern Webbing Yoke & Pouch Set - Medium	https://lambrino.co.uk/products/british-army-58-pattern-webbing-yoke-pouch-set
y	new	British Army 0000s Desert DPM Body Armour Cover Vest	Bags / Webbing	1	date-unknown			British Army Desert DPM Camouflage Body Armour Cover Vest - X Large 190/120	https://lambrino.co.uk/products/british-army-desert-dpm-camouflage-body-armour-cover-vest
y	new	British Army 0000s Green S6 Gas Mask Haversack Vest	Bags / Webbing	1	date-unknown,type-from-product-type			British Army Green S6 Gas Mask Haversack	https://lambrino.co.uk/products/british-army-green-gas-mask-haversack
y	new	British Army 0000s Kit Laundry Bag	Bags / Webbing	1	date-unknown			British Army Vintage Kit / Laundry Bag	https://lambrino.co.uk/products/british-army-vintage-kit-linen-bag
y	new	British Army 0000s Mercian Regiment Webbing	Bags / Webbing	1	date-unknown			British Army Mercian Regiment Webbing Belt - W43"	https://lambrino.co.uk/products/british-army-royal-anglian-regiment-webbing-belt
y	new	British Army 0000s PTI 1954 Vest	Bags / Webbing	3	date-unknown			British Army PTI Vest 1954 Pattern - Medium	https://lambrino.co.uk/products/british-army-pti-vest-1954-pattern-medium
y	new	British Army 0000s PTI Vest	Bags / Webbing	19	date-unknown			British Army PTI Vest - Medium 97cm	https://lambrino.co.uk/products/british-army-pti-vest-15
y	new	British Army 0000s Protective Leather Jerkin Vest	Bags / Webbing	3	date-unknown			British Army Protective Leather Jerkin Vest - Large 180/104	https://lambrino.co.uk/products/british-army-protective-leather-jerkin-vest-1
y	new	British Army 0000s S2000 DPM Woodland 100L Convulted Rucksack	Bags / Webbing	1	date-unknown			British Army S2000 DPM Woodland Camouflage 100L Short Convulted Rucksack	https://lambrino.co.uk/products/british-army-s2000-dpm-woodland-camouflage-110l-short-convulted-rucksack
y	new	British Army 0000s S2000 DPM Woodland 30L Patrol Pack Rucksack	Bags / Webbing	2	date-unknown			British Army S2000 DPM Woodland Camouflage 30L Patrol Pack Rucksack	https://lambrino.co.uk/products/british-army-s2000-dpm-woodland-camouflage-30l-patrol-pack-rucksack-1
y	new	British Army 0000s Warm Weather Sleeping with Compression Sack Bag	Bags / Webbing	1	date-unknown			British Army Warm Weather Sleeping Bag w/ Compression Sack	https://lambrino.co.uk/products/british-army-warm-weather-sleeping-bag-w-compression-sack
y	new	British Army 0000s Weight 3 Season Mummy Sleeping Bag	Bags / Webbing	1	date-unknown			British Army Medium Weight 3 Season "Mummy" Sleeping Bag	https://lambrino.co.uk/products/british-army-medium-weight-mummy-sleeping-bag
y	new	British Army 1970s 35 x 15 Olive Green Kit Bag	Bags / Webbing	1				British Army 70s Olive Green Kit Bag - 35 x 15"	https://lambrino.co.uk/products/british-army-70s-olive-green-kit-bag
y	new	British Army 1990s DPM Woodland Body Armour Cover Vest	Bags / Webbing	1				British Army S95 DPM Woodland Camouflage Body Armour Cover Vest - Large 180/104	https://lambrino.co.uk/products/british-army-dpm-woodland-camouflage-body-armour-cover-vest
y	new	British Army 2010s Body Armour Cover Vest	Bags / Webbing	6				British Army MTP Camouflage Body Armour Cover Vest - Large 170/112	https://lambrino.co.uk/products/british-army-mtp-camouflage-body-armour-cover-vest-4
y	new	British Army 2010s Cover Rucksack	Bags / Webbing	1				British Army MTP Camouflage Rucksack Cover - Large	https://lambrino.co.uk/products/british-army-mtp-camouflage-rucksack-cover-large
y	new	British RAF 0000s PTI Vest	Bags / Webbing	24	date-unknown			British RAF PTI Vest - Medium	https://lambrino.co.uk/products/british-raf-pti-vest-22
y	new	British Army 0000s .5 HAIX Goretex Leather Reinforced Brown Scout Boots	Footwear	2	date-unknown			British Army HAIX Goretex Leather Reinforced Brown Scout Boots - Size 6.5	https://lambrino.co.uk/products/british-army-haix-goretex-leather-reinforced-brown-scout-boots-size
y	new	British Army 0000s 1950's Highland Regiment Gaiters Spats Boots	Footwear	1	date-unknown,type-from-product-type			British Army 1950's Highland Regiment Gaiters Spats	https://lambrino.co.uk/products/british-army-highland-gaiters-spats
y	new	British Army 0000s AKU Black Combat Boots	Footwear	5	date-unknown			British Army AKU Black Combat Boots - Size 8M	https://lambrino.co.uk/products/british-army-aku-black-combat-boots-size-4
y	new	British Army 0000s AKU Brown Combat Boots	Footwear	10	date-unknown			British Army AKU Brown Combat Boots - Size 5M	https://lambrino.co.uk/products/british-army-aku-brown-combat-boots-size-10
y	new	British Army 0000s Altberg Brown Combat Boots	Footwear	1	date-unknown			British Army Altberg Brown Combat Boots - Size 7	https://lambrino.co.uk/products/british-army-altberg-brown-combat-boots-size
y	new	British Army 0000s Altberg Defender Black Combat Boots	Footwear	9	date-unknown			British Army Altberg Defender Black Combat Boots - Size 10M	https://lambrino.co.uk/products/british-army-altberg-defender-black-combat-boots-size-6
y	new	British Army 0000s Altberg Defender Brown Combat Boots	Footwear	14	date-unknown			British Army Altberg Defender Brown Combat Boots - Size 11M	https://lambrino.co.uk/products/british-army-altberg-defender-brown-combat-boots-size-11m
y	new	British Army 0000s Bates Brown Patrol Boots	Footwear	1	date-unknown			British Army Bates Brown Patrol Boots - Size 13M	https://lambrino.co.uk/products/british-army-bates-brown-patrol-boots-size
y	new	British Army 0000s Black Ammo Boots	Footwear	1	date-unknown			British Army Black Ammo Boots - Size 9M	https://lambrino.co.uk/products/british-army-black-dress-boots
y	new	British Army 0000s Black Dress Shoes	Footwear	1	date-unknown			British Army Black Dress Shoes - Size 11	https://lambrino.co.uk/products/british-army-black-dress-shoes-size-11
y	new	British Army 0000s Black George with Spurs Boots	Footwear	1	date-unknown			British Army Black George Boots w/ Spurs - Size 10	https://lambrino.co.uk/products/british-army-black-george-boots-w-spurs
y	new	British Army 0000s GS DPM Gaiters Boots	Footwear	1	date-unknown,type-from-product-type			British Army GS DPM Camouflage Gaiters	https://lambrino.co.uk/products/british-army-gs-dpm-camouflage-gaiters
y	new	British Army 0000s HAIX Brown Combat Boots	Footwear	1	date-unknown,fabric-unknown			British Army HAIX Brown Combat Boots - Size 10M	https://lambrino.co.uk/products/british-army-haix-brown-desert-combat-boots-size
y	new	British Army 0000s HAIX Brown Combat Leather Boots	Footwear	4	date-unknown			British Army HAIX Brown Combat Boots - Size 9M	https://lambrino.co.uk/products/british-army-haix-brown-combat-boots-size-3
y	new	British Army 0000s HAIX Brown Desert Combat Boots	Footwear	2	date-unknown,fabric-unknown			British Army HAIX Brown Desert Combat Boots - Size 8W	https://lambrino.co.uk/products/british-army-haix-brown-combat-boots-size-4
y	new	British Army 0000s HAIX Goretex Leather Reinforced Brown Scout Boots	Footwear	1	date-unknown			British Army HAIX Goretex Leather Reinforced Brown Scout Boots - Size 5	https://lambrino.co.uk/products/british-army-haix-goretex-brown-scout-boots
y	new	British Army 0000s Iturri Brown Cold Wet Weather Combat Boots	Footwear	5	date-unknown			British Army Iturri Brown Cold Wet Weather Combat Boots - Size 8M	https://lambrino.co.uk/products/british-army-iturri-brown-cold-wet-weather-combat-boots-size-5
y	new	British Army 0000s Iturri Brown Combat Goretex Boots	Footwear	3	date-unknown			British Army Iturri Brown Combat Boots - Size 7M	https://lambrino.co.uk/products/british-army-iturri-brown-combat-boots-size-2
y	new	British Army 0000s Iturri Brown Combat Leather Boots	Footwear	1	date-unknown			British Army Iturri Brown Combat Boots - Size 9	https://lambrino.co.uk/products/british-army-iturri-brown-combat-boots-size-9
y	new	British Army 0000s Iturri Brown Desert Combat Boots	Footwear	2	date-unknown,fabric-unknown			British Army Iturri Brown Desert Combat Boots - Size 9M	https://lambrino.co.uk/products/british-army-iturri-brown-desert-combat-boots-size-1
y	new	British Army 0000s Iturri Brown Desert Patrol Boots	Footwear	2	date-unknown			British Army Iturri Brown Desert Patrol Boots - Size 9M	https://lambrino.co.uk/products/british-army-iturri-brown-desert-patrol-boots-size-1
y	new	British Army 0000s L AKU Brown Combat Boots	Footwear	1	date-unknown			British Army AKU Brown Combat Boots - Size 10 L	https://lambrino.co.uk/products/british-army-aku-brown-combat-boots-size-5
y	new	British Army 0000s L Altberg Defender Brown Combat Boots	Footwear	2	date-unknown			British Army Altberg Defender Brown Combat Boots - Size 10 L	https://lambrino.co.uk/products/british-army-altberg-defender-brown-combat-boots-size-7
y	new	British Army 0000s L Iturri Brown Cold Wet Weather Combat Boots	Footwear	1	date-unknown			British Army Iturri Brown Cold Wet Weather Combat Boots - Size 12 L	https://lambrino.co.uk/products/british-army-iturri-brown-cold-wet-weather-combat-boots-size-1
y	new	British Army 0000s Lowa Desert Combat Boots	Footwear	1	date-unknown			British Army Lowa Desert Combat Boots - Size 10	https://lambrino.co.uk/products/british-army-lowa-desert-combat-boots-size
y	new	British Army 0000s Magnum Amazon 5 Desert Combat Boots	Footwear	2	date-unknown			British Army Magnum Amazon 5 Desert Combat Boots - Size 9L	https://lambrino.co.uk/products/british-army-magnum-amazon-5-desert-combat-boots-size-9l
y	new	British Army 0000s Magnum Elite II Black Combat Boots	Footwear	1	date-unknown			British Army Magnum Elite II Black Combat Boots - Size 11	https://lambrino.co.uk/products/british-army-magnum-elite-ii-black-combat-boots-size-11
y	new	British Army 0000s Meindl Desert Combat Boots	Footwear	1	date-unknown			British Army Meindl Desert Combat Boots - Size 9	https://lambrino.co.uk/products/british-army-meindl-desert-combat-boots-size
y	new	British Army 0000s Mk II DPM Gaiters Boots	Footwear	2	date-unknown,type-from-product-type			British Army Mk II DPM Camouflage Gaiters	https://lambrino.co.uk/products/british-army-mk-ii-dpm-camouflage-gaiters
y	new	British Army 0000s SealSkinz Waterproof Socks Boots	Footwear	5	date-unknown,type-from-product-type			British Army SealSkinz Waterproof Socks - Large 10-14	https://lambrino.co.uk/products/british-army-sealskinz-waterproof-socks-large-10-17
